year,statefip,n,population
2019,11,381,45566.47763041511
2019,12,13990,2001507.1988703208
2019,13,4336,614206.6256773049
2019,15,879,106717.63075030538
2019,16,352,53605.17061178149
2019,17,5636,842366.1942083002
2019,18,1405,221639.5866602558
2019,19,560,94428.98753482687
2019,20,768,125820.47803035636
2019,21,823,114787.39270581774
2019,22,882,118423.30676537292
2019,23,164,19697.058665262506
2019,24,3351,457313.3952858041
2019,25,4347,566844.840439127
2019,26,2182,321828.7751537801
2019,27,1007,202502.7255029251
2019,28,331,36935.78783902109
2019,29,921,131190.1533793386
2019,30,94,10702.098628371308
2019,31,437,90165.79161631125
2019,32,2389,316323.88526907435
2019,33,289,40827.960941243706
2019,34,6837,906488.969011615
2019,35,749,109006.60768750444
2019,36,13969,1828753.8374143373
2019,37,3807,531424.4648988204
2019,38,93,15217.549366234034
2019,39,1873,271054.1634730558
2019,40,955,150719.54732032423
2019,41,1458,223402.3403182528
2019,42,2515,416631.0790620517
2019,44,410,63421.50091857438
2019,45,1169,171763.96997940345
2019,46,115,18749.88442914617
2019,47,1582,229130.16555096122
2019,48,21239,3114679.9554020413
2019,49,1075,163043.69623127754
2019,50,84,11548.22410158056
2019,51,3697,527286.9099556032
2019,53,4534,624238.2938477402
2019,54,108,13542.80061350434
2019,55,880,162471.5719918528
2019,56,84,9947.39596218082
2020,1,640,96542.95026285115
2020,2,156,26038.62042230393
2020,4,2771,474751.5386830004
2020,5,562,93729.50212700805
2020,6,33149,4735431.736458783
2020,8,1760,281090.11255134566
2020,9,1557,239367.13905681827
2020,10,224,37319.21639381616
2020,11,348,47501.54162980917
2020,12,9012,1819799.135837369
2020,13,2659,571052.8936931137
2020,15,943,100520.7489383236
2020,16,362,54471.565065930976
2020,17,5431,812495.6339092338
2020,18,1210,219204.59167403367
2020,19,602,95819.58491704265
2020,20,731,114540.20657328557
2020,21,795,99952.08154878825
2020,22,648,98064.30089440542
2020,23,203,24652.55058183195
2020,24,2897,432791.2373298768
2020,25,3607,533159.3869135578
2020,26,2264,292847.5911858648
2020,27,898,167279.7010603363
2020,28,245,33665.18767225369
2020,29,798,107734.32057675999
2020,30,80,7616.904425642362
2020,31,504,88710.21697275457
2020,32,1743,291842.4147668741
2020,33,238,32637.533497583805
2020,34,5849,884668.8990031565
2020,35,593,102038.60522667538
2020,36,12421,1748833.8009963082
2020,37,2604,476706.6806169913
2020,38,101,22767.71588864688
2020,39,1597,249253.10303428193
2020,40,1032,149223.4148217234
2020,41,1314,213718.99104408218
2020,42,2659,417905.9432822493
2020,44,417,71577.57621229111
2020,45,906,149754.757615857
2020,46,113,17908.19212729322
2020,47,1153,191197.51111143973
2020,48,14229,2841906.1234945543
2020,49,987,139205.950917032
2020,50,104,13848.146573452454
2020,51,2887,453367.86365802673
2020,53,3968,581459.2396374531
2020,54,119,13612.431301898449
2020,55,795,144220.44089144003
2020,56,83,13076.62460065349
2021,1,899,105176.32325435015
2021,2,143,22037.94335651222
2021,4,3839,477993.5032501706
2021,5,758,99469.26678697029
2021,6,43524,4868643.644443404
2021,8,2225,293829.31959568657
2021,9,1980,254682.82125293717
2021,10,336,47470.88098070317
2021,11,444,47553.11845825472
2021,12,14038,1870970.1528801431
2021,13,4093,564796.9412975442
2021,15,879,98988.67186458665
2021,16,476,63766.86826879832
2021,17,6276,864175.5830843623
2021,18,1508,218405.11043144963
2021,19,553,87156.74932340354
2021,20,794,119758.00622259887
2021,21,852,106817.80979377058
2021,22,1034,119436.17481622963
2021,23,204,23530.925707553357
2021,24,3709,445430.6974048427
2021,25,4739,565809.6832790098
2021,26,2204,291242.2204498803
2021,27,1025,213195.57626033496
2021,28,389,37562.90022215134
2021,29,995,123438.81924989764
2021,30,92,12189.882764434284
2021,31,467,81274.65230592202
2021,32,2341,272467.7965109667
2021,33,291,34109.65566307666
2021,34,7630,956987.2876188608
2021,35,765,110669.10334218021
2021,36,14289,1786486.8304608227
2021,37,4104,514249.2214409069
2021,38,127,21877.44330450475
2021,39,2019,274604.7196548834
2021,40,985,130377.63630349372
2021,41,1588,212987.72528059914
2021,42,2850,448894.055489485
2021,44,514,69127.97929576898
2021,45,1282,158834.066644581
2021,46,96,16356.2865579492
2021,47,1843,234498.41012873978
2021,48,21366,3078706.9296440366
2021,49,1161,161140.72193439025
2021,50,124,13495.116041294732
2021,51,3767,470722.5005900691
2021,53,4851,607608.1820781175
2021,54,135,15655.680768958631
2021,55,926,155619.33487848556
2021,56,84,10851.791191195227
2022,1,890,107448.14433653341
2022,2,174,23375.8266661777
2022,4,3930,500372.2973200803
2022,5,701,104903.48995212496
2022,6,43872,4896327.882439296
2022,8,2283,293584.6482423906
2022,9,2077,262492.3741164155
2022,10,320,43577.23515681556
2022,11,430,48660.2199242789
2022,12,16074,2105604.283012513
2022,13,4924,606025.2762339307
2022,15,881,99354.40520937521
2022,16,465,64608.584286758705
2022,17,6149,869950.7590545942
2022,18,1733,246064.98459567907
2022,19,629,115623.32076071083
2022,20,848,129936.18722001385
2022,21,772,99954.09699709984
2022,22,961,111708.85724871901
2022,23,202,26560.410864211717
2022,24,3711,483898.8323158544
2022,25,4921,590001.4405744056
2022,26,2229,320258.6366796466
2022,27,1020,195920.04918529888
2022,28,368,39197.38910376712
2022,29,1067,132047.22867590628
2022,30,93,10432.641507638458
2022,31,452,78972.52092612648
2022,32,2327,286042.05766662915
2022,33,233,32791.248714548776
2022,34,7620,953284.9444620678
2022,35,800,108615.2300474195
2022,36,14355,1811326.239424906
2022,37,4001,532964.046142037
2022,38,114,16106.173082878298
2022,39,2027,273093.9278058956
2022,40,1111,153333.591089187
2022,41,1674,228035.09927516067
2022,42,2836,450030.79725101235
2022,44,498,77965.01521954095
2022,45,1208,145817.14036111115
2022,46,108,16356.454970695868
2022,47,1859,234515.5919841949
2022,48,22872,3023508.215049432
2022,49,1338,186139.0236627188
2022,50,72,8148.956712454557
2022,51,3659,466640.6527807916
2022,53,5188,630281.0774013702
2022,54,127,12921.949311662074
2022,55,883,156281.60384172958
2022,56,93,10814.978368654007
2023,1,941,126528.78296961675
2023,2,157,19212.202072845466
2023,4,3906,519350.78978143877
2023,5,735,105292.21261420375
2023,6,43469,4943088.6219591955
2023,8,2188,305121.07603460253
2023,9,2164,276421.54279197886
2023,10,457,62144.27164928576
2023,11,462,48726.78071021455
2023,12,16804,2255803.619605879
2023,13,5568,685061.2278667382
2023,15,884,92573.54328197826
2023,16,435,58389.34914337096
2023,17,6384,925122.7613699018
2023,18,1751,262793.9474331785
2023,19,654,110779.02269419907
2023,20,796,123640.72540087378
2023,21,827,114667.81828384414
2023,22,1033,138996.87027977512
2023,23,219,28813.36964879471
2023,24,3631,491120.15812312654
2023,25,5014,611139.1055740297
2023,26,2418,331198.0374360303
2023,27,1023,206197.25905496252
2023,28,457,50750.95959385705
2023,29,1182,161257.49856149944
2023,30,80,9804.172145057
2023,31,548,92842.99053993677
2023,32,2328,294189.7969739934
2023,33,298,43068.352076765295
2023,34,8202,1043711.6213227411
2023,35,899,121930.68291663093
2023,36,15280,1890280.5367766807
2023,37,4403,589955.5042078606
2023,38,115,14836.468815868551
2023,39,2211,305245.63087335
2023,40,1076,148251.28729830898
2023,41,1590,209244.3836661977
2023,42,2925,486350.7044427136
2023,44,422,75840.49656507188
2023,45,1503,187291.72602373196
2023,46,162,20154.566452461873
2023,47,2015,277632.35481001274
2023,48,24751,3256404.2805064013
2023,49,1315,180462.95357570105
2023,50,78,8794.862941265832
2023,51,3981,520921.0339316662
2023,53,5245,645840.2814920574
2023,54,147,16229.480017374723
2023,55,1040,187520.98047425266
2023,56,97,12672.097580089856
2024,1,1057,144727.29146797894
2024,2,174,21038.607805707652
2024,4,4084,552804.6997296612
2024,5,788,126492.77225903349
2024,6,44289,5180289.551851237
2024,8,2427,348029.52120341035
2024,9,2091,279103.6561103215
2024,10,361,60209.933512029085
2024,11,487,63971.16504283087
2024,12,17374,2572975.0654930137
2024,13,5584,741039.7549647061
2024,15,959,100904.81591991408
2024,16,493,72890.76365628773
2024,17,6405,978409.4736645074
2024,18,1951,307704.11027066037
2024,19,689,127101.30050600193
2024,20,802,142171.4915974791
2024,21,1066,156241.75781799332
2024,22,1155,153908.65599693864
2024,23,238,31918.278957404378
2024,24,3583,503756.0916373093
2024,25,5274,656284.8746619329
2024,26,2314,351988.0369676357
2024,27,1089,229742.9043489185
2024,28,478,51234.93654740701
2024,29,1155,155739.10172255794
2024,30,101,11190.738305086392
2024,31,612,117928.22227395578
2024,32,2483,315966.29456034757
2024,33,217,32439.469574938397
2024,34,8138,1094573.8877712276
2024,35,858,128206.0726953269
2024,36,15222,1949557.7170432212
2024,37,4816,668613.2001927696
2024,38,149,30892.430364870863
2024,39,2216,330168.8027773268
2024,40,1057,165965.84082012315
2024,41,1479,212979.03437706432
2024,42,2836,476377.77679519606
2024,44,505,84701.46306869642
2024,45,1456,207552.46315849878
2024,46,152,23481.708062852027
2024,47,1970,292536.3580242583
2024,48,24179,3506993.2844858
2024,49,1376,218037.3274398267
2024,50,85,9141.095118985246
2024,51,3932,549826.7147811322
2024,53,5297,677758.3337204645
2024,54,152,20218.69416498535
2024,55,917,188099.24434169673
2024,56,93,10580.785074790938
