year,statefip,n_before,pop_before,n_after,pop_after,pop_change,pct_change
2020,55,91,14896,91,14896,0,0
2020,56,9,934,9,934,0,0
2021,1,54,5651,54,5651,0,0
2021,2,29,6181,29,6181,0,0
2021,4,733,88026,733,88026,0,0
2021,5,75,6695,75,6695,0,0
2021,6,12914,1420704,12914,1430785.2108948033,10081.210894803284,0.7095926311746348
2021,8,259,33471,259,33471,0,0
2021,9,352,43455,352,43825.19860021739,370.19860021738714,0.8519125537162285
2021,10,39,4812,39,4812,0,0
2021,11,67,8080,67,8080,0,0
2021,12,1815,230545,1815,230545,0,0
2021,13,263,34139,263,34139,0,0
2021,15,188,23436,188,23436,0,0
2021,16,63,7076,63,7076,0,0
2021,17,869,127157,869,128622.8181427636,1465.818142763601,1.1527624454521583
2021,18,260,41040,260,41040,0,0
2021,19,96,15796,96,15796,0,0
2021,20,49,6289,49,6289,0,0
2021,21,191,26260,191,26260,0,0
2021,22,131,15409,131,15409,0,0
2021,23,33,4009,33,4009,0,0
2021,24,596,67770,596,67770,0,0
2021,25,1429,200629,1429,200629,0,0
2021,26,388,52733,388,52733,0,0
2021,27,240,59413,240,59413,0,0
2021,28,20,1901,20,1901,0,0
2021,29,60,7085,60,7085,0,0
2021,30,10,1325,10,1325,0,0
2021,31,50,9816,50,9816,0,0
2021,32,275,30871,275,30871,0,0
2021,33,29,3826,29,3826,0,0
2021,34,1124,142451,1124,144492.59508577935,2041.5950857793505,1.4331911224065472
2021,35,164,24583,164,24583,0,0
2021,36,4886,616905,4886,619375.1265710159,2470.1265710159205,0.4004063139407073
2021,37,312,35369,312,35369,0,0
2021,38,13,1541,13,1541,0,0
2021,39,308,44315,308,44315,0,0
2021,40,60,6578,60,6578,0,0
2021,41,272,38856,272,39203.52528060059,347.5252806005883,0.894392836629062
2021,42,507,82061,507,82061,0,0
2021,44,159,24845,159,24845,0,0
2021,45,118,13364,118,13364,0,0
2021,46,3,722,3,722,0,0
2021,47,177,19306,177,19306,0,0
2021,48,2021,280555,2021,280555,0,0
2021,49,59,7862,59,7862,0,0
2021,50,21,2380,21,2380,0,0
2021,51,397,46397,397,46397,0,0
2021,53,685,89463,685,90650.43268070201,1187.4326807020116,1.3272891370756756
2021,54,24,3148,24,3148,0,0
2021,55,118,21713,118,21713,0,0
2021,56,5,461,5,461,0,0
2022,1,70,7229,70,7229,0,0
2022,2,17,2266,17,2266,0,0
2022,4,707,92766,707,92766,0,0
2022,5,69,10264,69,10264,0,0
2022,6,13160,1475945,13160,1495417.8892867048,19472.889286704827,1.3193506049822201
2022,8,320,42100,320,42100,0,0
